9001213 = {
	0 = {
		ItemID = 2437760
		Quantity = 100
		Price = 0
		Position = 0
		ReqItem = 0
		ReqItemQ = 0
		Category = 1
		MinLevel = 0
		Expiration = 0
		PointQuestExID = 100712
		PointPrice = 100
		BuyLimit = 0
		WorldBuyLimit = 0
		LimitQuestExID = 0
		LimitQuestExKey = 
		LimitQuestExValue = 0
	}
	1 = {
		ItemID = 2633336
		Quantity = 100
		Price = 0
		Position = 1
		ReqItem = 0
		ReqItemQ = 0
		Category = 1
		MinLevel = 0
		Expiration = 0
		PointQuestExID = 100712
		PointPrice = 100
		BuyLimit = 0
		WorldBuyLimit = 0
		LimitQuestExID = 0
		LimitQuestExKey = 
		LimitQuestExValue = 0
	}
	2 = {
		ItemID = 2024084
		Quantity = 1
		Price = 0
		Position = 2
		ReqItem = 0
		ReqItemQ = 0
		Category = 1
		MinLevel = 0
		Expiration = 0
		PointQuestExID = 100712
		PointPrice = 120
		BuyLimit = 0
		WorldBuyLimit = 0
		LimitQuestExID = 0
		LimitQuestExKey = 
		LimitQuestExValue = 0
	}
	3 = {
		ItemID = 5121060
		Quantity = 1
		Price = 0
		Position = 3
		ReqItem = 0
		ReqItemQ = 0
		Category = 1
		MinLevel = 0
		Expiration = 0
		PointQuestExID = 100712
		PointPrice = 300
		BuyLimit = 0
		WorldBuyLimit = 0
		LimitQuestExID = 0
		LimitQuestExKey = 
		LimitQuestExValue = 0
	}
	4 = {
		ItemID = 2450064
		Quantity = 1
		Price = 0
		Position = 4
		ReqItem = 0
		ReqItemQ = 0
		Category = 1
		MinLevel = 0
		Expiration = 0
		PointQuestExID = 100712
		PointPrice = 30
		BuyLimit = 0
		WorldBuyLimit = 0
		LimitQuestExID = 0
		LimitQuestExKey = 
		LimitQuestExValue = 0
	}
	5 = {
		ItemID = 2450163
		Quantity = 1
		Price = 0
		Position = 5
		ReqItem = 0
		ReqItemQ = 0
		Category = 1
		MinLevel = 0
		Expiration = 0
		PointQuestExID = 100712
		PointPrice = 90
		BuyLimit = 0
		WorldBuyLimit = 0
		LimitQuestExID = 0
		LimitQuestExKey = 
		LimitQuestExValue = 0
	}
	9 = {
		ItemID = 2431940
		Quantity = 1
		Price = 0
		Position = 9
		ReqItem = 0
		ReqItemQ = 0
		Category = 1
		MinLevel = 0
		Expiration = 0
		PointQuestExID = 100712
		PointPrice = 180
		BuyLimit = 0
		WorldBuyLimit = 0
		LimitQuestExID = 0
		LimitQuestExKey = 
		LimitQuestExValue = 0
	}
	10 = {
		ItemID = 2430043
		Quantity = 1
		Price = 0
		Position = 10
		ReqItem = 0
		ReqItemQ = 0
		Category = 2
		MinLevel = 0
		Expiration = 0
		PointQuestExID = 100712
		PointPrice = 2000
		BuyLimit = 0
		WorldBuyLimit = 0
		LimitQuestExID = 0
		LimitQuestExKey = 
		LimitQuestExValue = 0
	}
	11 = {
		ItemID = 2630127
		Quantity = 1
		Price = 0
		Position = 11
		ReqItem = 0
		ReqItemQ = 0
		Category = 2
		MinLevel = 0
		Expiration = 0
		PointQuestExID = 100712
		PointPrice = 2000
		BuyLimit = 0
		WorldBuyLimit = 0
		LimitQuestExID = 0
		LimitQuestExKey = 
		LimitQuestExValue = 0
	}
	12 = {
		ItemID = 2439942
		Quantity = 1
		Price = 0
		Position = 12
		ReqItem = 0
		ReqItemQ = 0
		Category = 2
		MinLevel = 0
		Expiration = 0
		PointQuestExID = 100712
		PointPrice = 2500
		BuyLimit = 0
		WorldBuyLimit = 0
		LimitQuestExID = 0
		LimitQuestExKey = 
		LimitQuestExValue = 0
	}
	13 = {
		ItemID = 2439943
		Quantity = 1
		Price = 0
		Position = 13
		ReqItem = 0
		ReqItemQ = 0
		Category = 2
		MinLevel = 0
		Expiration = 0
		PointQuestExID = 100712
		PointPrice = 3000
		BuyLimit = 0
		WorldBuyLimit = 0
		LimitQuestExID = 0
		LimitQuestExKey = 
		LimitQuestExValue = 0
	}
	14 = {
		ItemID = 4031227
		Quantity = 1000
		Price = 0
		Position = 14
		ReqItem = 0
		ReqItemQ = 0
		Category = 2
		MinLevel = 0
		Expiration = 0
		PointQuestExID = 100712
		PointPrice = 10000
		BuyLimit = 0
		WorldBuyLimit = 0
		LimitQuestExID = 0
		LimitQuestExKey = 
		LimitQuestExValue = 0
	}
	15 = {
		ItemID = 4310237
		Quantity = 3000
		Price = 0
		Position = 15
		ReqItem = 0
		ReqItemQ = 0
		Category = 2
		MinLevel = 0
		Expiration = 0
		PointQuestExID = 100712
		PointPrice = 10000
		BuyLimit = 0
		WorldBuyLimit = 0
		LimitQuestExID = 0
		LimitQuestExKey = 
		LimitQuestExValue = 0
	}
	16 = {
		ItemID = 4310266
		Quantity = 2500
		Price = 0
		Position = 16
		ReqItem = 0
		ReqItemQ = 0
		Category = 2
		MinLevel = 0
		Expiration = 0
		PointQuestExID = 100712
		PointPrice = 10000
		BuyLimit = 0
		WorldBuyLimit = 0
		LimitQuestExID = 0
		LimitQuestExKey = 
		LimitQuestExValue = 0
	}
	17 = {
		ItemID = 4310308
		Quantity = 2500
		Price = 0
		Position = 17
		ReqItem = 0
		ReqItemQ = 0
		Category = 2
		MinLevel = 0
		Expiration = 0
		PointQuestExID = 100712
		PointPrice = 10000
		BuyLimit = 0
		WorldBuyLimit = 0
		LimitQuestExID = 0
		LimitQuestExKey = 
		LimitQuestExValue = 0
	}
	18 = {
		ItemID = 4034803
		Quantity = 1
		Price = 0
		Position = 18
		ReqItem = 0
		ReqItemQ = 0
		Category = 2
		MinLevel = 0
		Expiration = 0
		PointQuestExID = 100712
		PointPrice = 20000
		BuyLimit = 0
		WorldBuyLimit = 0
		LimitQuestExID = 0
		LimitQuestExKey = 
		LimitQuestExValue = 0
	}
}
