1052206 = {
    0 = {
        ItemID = 2046076
        Quantity = 1
        Price = 0
        Position = 0
        ReqItem = 4001715
        ReqItemQ = 80
        Category = 38
        MinLevel = 0
        Expiration = 0
        PointQuestExID = 0
        PointPrice = 0
        BuyLimit = 0
        WorldBuyLimit = 2
        LimitQuestExID = 0
        LimitQuestExKey = 
    }
    1 = {
        ItemID = 2046077
        Quantity = 1
        Price = 0
        Position = 1
        ReqItem = 4001715
        ReqItemQ = 80
        Category = 38
        MinLevel = 0
        Expiration = 0
        PointQuestExID = 0
        PointPrice = 0
        BuyLimit = 0
        WorldBuyLimit = 2
        LimitQuestExID = 0
        LimitQuestExKey = 
    }
    2 = {
        ItemID = 2046150
        Quantity = 1
        Price = 0
        Position = 2
        ReqItem = 4001715
        ReqItemQ = 80
        Category = 38
        MinLevel = 0
        Expiration = 0
        PointQuestExID = 0
        PointPrice = 0
        BuyLimit = 0
        WorldBuyLimit = 2
        LimitQuestExID = 0
        LimitQuestExKey = 
    }
    3 = {
        ItemID = 2046251
        Quantity = 1
        Price = 0
        Position = 3
        ReqItem = 4001715
        ReqItemQ = 80
        Category = 38
        MinLevel = 0
        Expiration = 0
        PointQuestExID = 0
        PointPrice = 0
        BuyLimit = 0
        WorldBuyLimit = 3
        LimitQuestExID = 0
        LimitQuestExKey = 
    }
    4 = {
        ItemID = 2046340
        Quantity = 1
        Price = 0
        Position = 4
        ReqItem = 4001715
        ReqItemQ = 80
        Category = 38
        MinLevel = 0
        Expiration = 0
        PointQuestExID = 0
        PointPrice = 0
        BuyLimit = 0
        WorldBuyLimit = 3
        LimitQuestExID = 0
        LimitQuestExKey = 
    }
    5 = {
        ItemID = 2046341
        Quantity = 1
        Price = 0
        Position = 5
        ReqItem = 4001715
        ReqItemQ = 80
        Category = 38
        MinLevel = 0
        Expiration = 0
        PointQuestExID = 0
        PointPrice = 0
        BuyLimit = 0
        WorldBuyLimit = 3
        LimitQuestExID = 0
        LimitQuestExKey = 
    }
    6 = {
        ItemID = 2048047
        Quantity = 1
        Price = 0
        Position = 6
        ReqItem = 4001715
        ReqItemQ = 80
        Category = 38
        MinLevel = 0
        Expiration = 0
        PointQuestExID = 0
        PointPrice = 0
        BuyLimit = 0
        WorldBuyLimit = 3
        LimitQuestExID = 0
        LimitQuestExKey = 
    }
    7 = {
        ItemID = 2048048
        Quantity = 1
        Price = 0
        Position = 7
        ReqItem = 4001715
        ReqItemQ = 80
        Category = 38
        MinLevel = 0
        Expiration = 0
        PointQuestExID = 0
        PointPrice = 0
        BuyLimit = 0
        WorldBuyLimit = 3
        LimitQuestExID = 0
        LimitQuestExKey = 
    }
    8 = {
        ItemID = 2431940
        Quantity = 1
        Price = 0
        Position = 8
        ReqItem = 4001715
        ReqItemQ = 10
        Category = 38
        MinLevel = 0
        Expiration = 0
        PointQuestExID = 0
        PointPrice = 0
        BuyLimit = 0
        WorldBuyLimit = 4
        LimitQuestExID = 0
        LimitQuestExKey = 
    }
    10 = {
        ItemID = 2450163
        Quantity = 1
        Price = 0
        Position = 10
        ReqItem = 4001715
        ReqItemQ = 10
        Category = 38
        MinLevel = 0
        Expiration = 0
        PointQuestExID = 0
        PointPrice = 0
        BuyLimit = 0
        WorldBuyLimit = 4
        LimitQuestExID = 0
        LimitQuestExKey = 
    }    
}
