2142112 = {
	1000 = {
		ItemID = 5062400
		Quantity = 1
		Price = 5000000
		Position = 91
		ReqItem = 0
		ReqItemQ = 0
		Category = 11
		MinLevel = 0
		Expiration = 0
		PointQuestExID = 0
		PointPrice = 0
		BuyLimit = 0
		WorldBuyLimit = 0
		LimitQuestExID = 0
		LimitQuestExKey = 
		LimitQuestExValue = 0
	}
	1001 = {
		ItemID = 5062402
		Quantity = 1
		Price = 5000000
		Position = 91
		ReqItem = 0
		ReqItemQ = 0
		Category = 11
		MinLevel = 0
		Expiration = 0
		PointQuestExID = 0
		PointPrice = 0
		BuyLimit = 0
		WorldBuyLimit = 0
		LimitQuestExID = 0
		LimitQuestExKey = 
		LimitQuestExValue = 0
	}
	0 = {
		ItemID = 1102053
		Quantity = 1
		Price = 10000000
		Position = 0
		ReqItem = 0
		ReqItemQ = 0
		Category = 23
		MinLevel = 0
		Expiration = 0
		PointQuestExID = 0
		PointPrice = 0
		BuyLimit = 0
		WorldBuyLimit = 0
		LimitQuestExID = 0
		LimitQuestExKey = 
		LimitQuestExValue = 0
	}
	1 = {
		ItemID = 1102109
		Quantity = 1
		Price = 10000000
		Position = 1
		ReqItem = 0
		ReqItemQ = 0
		Category = 23
		MinLevel = 0
		Expiration = 0
		PointQuestExID = 0
		PointPrice = 0
		BuyLimit = 0
		WorldBuyLimit = 0
		LimitQuestExID = 0
		LimitQuestExKey = 
		LimitQuestExValue = 0
	}
	2 = {
		ItemID = 1102054
		Quantity = 1
		Price = 10000000
		Position = 2
		ReqItem = 0
		ReqItemQ = 0
		Category = 23
		MinLevel = 0
		Expiration = 0
		PointQuestExID = 0
		PointPrice = 0
		BuyLimit = 0
		WorldBuyLimit = 0
		LimitQuestExID = 0
		LimitQuestExKey = 
		LimitQuestExValue = 0
	}
	3 = {
		ItemID = 1102064
		Quantity = 1
		Price = 10000000
		Position = 3
		ReqItem = 0
		ReqItemQ = 0
		Category = 23
		MinLevel = 0
		Expiration = 0
		PointQuestExID = 0
		PointPrice = 0
		BuyLimit = 0
		WorldBuyLimit = 0
		LimitQuestExID = 0
		LimitQuestExKey = 
		LimitQuestExValue = 0
	}
	4 = {
		ItemID = 1102231
		Quantity = 1
		Price = 10000000
		Position = 4
		ReqItem = 0
		ReqItemQ = 0
		Category = 23
		MinLevel = 0
		Expiration = 0
		PointQuestExID = 0
		PointPrice = 0
		BuyLimit = 0
		WorldBuyLimit = 0
		LimitQuestExID = 0
		LimitQuestExKey = 
		LimitQuestExValue = 0
	}
	5 = {
		ItemID = 1102311
		Quantity = 1
		Price = 10000000
		Position = 5
		ReqItem = 0
		ReqItemQ = 0
		Category = 23
		MinLevel = 0
		Expiration = 0
		PointQuestExID = 0
		PointPrice = 0
		BuyLimit = 0
		WorldBuyLimit = 0
		LimitQuestExID = 0
		LimitQuestExKey = 
		LimitQuestExValue = 0
	}
	6 = {
		ItemID = 1102370
		Quantity = 1
		Price = 10000000
		Position = 6
		ReqItem = 0
		ReqItemQ = 0
		Category = 23
		MinLevel = 0
		Expiration = 0
		PointQuestExID = 0
		PointPrice = 0
		BuyLimit = 0
		WorldBuyLimit = 0
		LimitQuestExID = 0
		LimitQuestExKey = 
		LimitQuestExValue = 0
	}
	7 = {
		ItemID = 1102371
		Quantity = 1
		Price = 10000000
		Position = 7
		ReqItem = 0
		ReqItemQ = 0
		Category = 23
		MinLevel = 0
		Expiration = 0
		PointQuestExID = 0
		PointPrice = 0
		BuyLimit = 0
		WorldBuyLimit = 0
		LimitQuestExID = 0
		LimitQuestExKey = 
		LimitQuestExValue = 0
	}
	8 = {
		ItemID = 1102372
		Quantity = 1
		Price = 10000000
		Position = 8
		ReqItem = 0
		ReqItemQ = 0
		Category = 23
		MinLevel = 0
		Expiration = 0
		PointQuestExID = 0
		PointPrice = 0
		BuyLimit = 0
		WorldBuyLimit = 0
		LimitQuestExID = 0
		LimitQuestExKey = 
		LimitQuestExValue = 0
	}
	9 = {
		ItemID = 1102379
		Quantity = 1
		Price = 10000000
		Position = 9
		ReqItem = 0
		ReqItemQ = 0
		Category = 23
		MinLevel = 0
		Expiration = 0
		PointQuestExID = 0
		PointPrice = 0
		BuyLimit = 0
		WorldBuyLimit = 0
		LimitQuestExID = 0
		LimitQuestExKey = 
		LimitQuestExValue = 0
	}
	10 = {
		ItemID = 1102590
		Quantity = 1
		Price = 10000000
		Position = 10
		ReqItem = 0
		ReqItemQ = 0
		Category = 23
		MinLevel = 0
		Expiration = 0
		PointQuestExID = 0
		PointPrice = 0
		BuyLimit = 0
		WorldBuyLimit = 0
		LimitQuestExID = 0
		LimitQuestExKey = 
		LimitQuestExValue = 0
	}
	11 = {
